time,open,high,low,close,volume
2024-01-02 07:00:00,55.05,55.52,54.59,55.45,1785800
2024-01-03 07:00:00,55.45,56.12,54.99,56.12,1373000
2024-01-04 07:00:00,56.12,57.24,55.78,57.04,2657900
2024-01-05 07:00:00,57.04,57.24,56.91,57.24,1180300
2024-01-08 07:00:00,57.31,57.64,57.31,57.64,1607800
2024-01-09 07:00:00,57.64,58.37,57.64,58.31,1926400
2024-01-10 07:00:00,58.31,59.44,57.91,59.44,1795400
2024-01-11 07:00:00,59.44,59.77,58.84,59.3,1489100
2024-01-12 07:00:00,58.51,59.44,58.04,58.9,1909500
2024-01-15 07:00:00,59.1,59.83,59.04,59.77,1914200
2024-01-16 07:00:00,59.1,59.83,59.04,59.77,1367200
2024-01-17 07:00:00,59.1,60.43,59.1,60.37,1578200
2024-01-18 07:00:00,60.37,60.56,59.77,60.5,1422900
2024-01-19 07:00:00,60.43,61.76,60.03,61.49,1472600
2024-01-22 07:00:00,62.09,62.09,61.1,61.1,1046300
2024-01-23 07:00:00,61.16,61.36,60.03,60.76,1256900
2024-01-24 07:00:00,60.83,61.1,60.37,60.5,744700
2024-01-25 07:00:00,60.5,60.83,60.23,60.43,503300
2024-01-26 07:00:00,60.83,61.1,60.7,61.1,953100
2024-01-29 07:00:00,60.96,61.1,60.37,60.56,730500
2024-01-30 07:00:00,60.56,60.56,59.83,60.43,888600
2024-01-31 07:00:00,60.17,60.17,58.77,58.77,945600
2024-02-01 07:00:00,58.44,59.9,58.44,59.63,598100
2024-02-02 07:00:00,59.17,60.1,59.17,59.97,733000
2024-02-05 07:00:00,59.9,60.17,59.37,59.77,1949000
2024-02-06 07:00:00,59.97,60.17,59.17,59.44,1352300
2024-02-07 07:00:00,59.77,60.3,59.3,59.77,1371400
2024-02-15 07:00:00,59.77,60.23,59.17,59.7,1046700
2024-02-16 07:00:00,59.7,59.9,59.44,59.5,734100
2024-02-19 07:00:00,59.7,60.1,59.3,59.9,1045300
2024-02-20 07:00:00,59.83,60.7,59.37,60.63,1404300
2024-02-21 07:00:00,60.9,60.9,60.1,60.56,1367400
2024-02-22 07:00:00,60.17,60.43,59.44,59.44,1223900
2024-02-23 07:00:00,59.44,60.7,59.04,59.04,1800900
2024-02-26 07:00:00,59.04,59.77,59.04,59.44,722000
2024-02-27 07:00:00,59.5,60.56,59.17,60.5,1604900
2024-02-28 07:00:00,60.43,64.68,60.03,64.68,4219900
2024-02-29 07:00:00,65.41,66.74,64.62,64.62,1897000
2024-03-01 07:00:00,65.21,65.21,63.02,64.62,2379600
2024-03-04 07:00:00,65.08,65.08,63.49,63.75,1640400
2024-03-05 07:00:00,64.15,64.15,63.22,63.42,1364800
2024-03-06 07:00:00,63.42,64.28,63.15,63.49,2070600
2024-03-07 07:00:00,63.69,64.68,63.42,63.62,2362300
2024-03-08 07:00:00,63.69,64.08,63.15,63.15,2229600
2024-03-11 07:00:00,63.15,63.75,62.49,62.49,1840000
2024-03-12 07:00:00,62.49,63.02,62.42,62.69,1107000
2024-03-13 07:00:00,63.02,64.08,62.62,63.75,3124500
2024-03-14 07:00:00,63.75,63.82,62.82,63.09,2319300
2024-03-15 07:00:00,63.09,63.09,62.36,62.42,2302500
2024-03-18 07:00:00,62.62,62.76,61.43,61.76,1839300
2024-03-19 07:00:00,61.43,62.09,61.43,61.43,868500
2024-03-20 07:00:00,61.43,62.49,61.43,61.89,897700
2024-03-21 07:00:00,62.42,63.42,62.42,63.22,1452700
2024-03-22 07:00:00,63.22,64.28,63.22,64.02,1844100
2024-03-25 07:00:00,63.09,64.35,62.49,63.55,1368800
2024-03-26 07:00:00,63.75,64.15,63.62,63.95,735400
2024-03-27 07:00:00,63.88,63.88,63.49,63.62,1046200
2024-03-28 07:00:00,63.88,64.02,63.49,63.55,1232800
2024-03-29 07:00:00,63.69,63.69,63.02,63.02,801200
2024-04-01 07:00:00,63.02,63.75,62.89,63.22,1221000
2024-04-02 07:00:00,63.15,63.22,62.36,62.76,969000
2024-04-03 07:00:00,62.69,62.96,62.29,62.29,1321100
2024-04-04 07:00:00,63.02,63.75,62.69,63.75,2022700
2024-04-05 07:00:00,62.96,63.49,62.56,63.02,779200
2024-04-08 07:00:00,63.02,63.29,62.56,63.02,864100
2024-04-09 07:00:00,63.09,63.35,62.56,62.62,686800
2024-04-10 07:00:00,62.62,62.82,62.49,62.76,737400
2024-04-11 07:00:00,62.42,62.82,62.09,62.42,778000
2024-04-12 07:00:00,62.76,63.42,62.29,62.82,844800
2024-04-15 07:00:00,62.82,64.08,61.1,61.1,1900300
2024-04-16 07:00:00,62.29,62.29,60.1,60.43,1857700
2024-04-17 07:00:00,60.56,61.16,59.44,60.1,1452600
2024-04-19 07:00:00,59.77,60.37,59.57,60.1,1324800
2024-04-22 07:00:00,60.1,60.7,59.9,60.17,999100
2024-04-23 07:00:00,60.17,60.56,59.24,59.83,1562900
2024-04-24 07:00:00,60.43,60.5,59.83,60.17,1925200
